Target_lon,Target_lat
-158.0,67.0
-139.2,67.0
-120.3,67.0
-101.5,67.0
-15.0,67.0
20.0,67.0
38.8,67.0
57.7,67.0
76.5,67.0
95.3,67.0
114.2,67.0
151.8,67.0
170.6,67.0
-158.0,58.8
-128.5,58.8
-113.7,58.8
-98.9,58.8
-84.2,58.8
-69.4,58.8
0.0,58.8
14.8,58.8
29.5,58.8
44.3,58.8
59.1,58.8
73.8,58.8
88.6,58.8
103.4,58.8
118.1,58.8
132.9,58.8
147.7,58.8
162.4,58.8
-125.0,50.5
-112.7,50.5
-100.4,50.5
-88.0,50.5
-75.7,50.5
-63.4,50.5
-51.1,50.5
-5.0,50.5
7.3,50.5
19.6,50.5
32.0,50.5
44.3,50.5
56.6,50.5
68.9,50.5
81.3,50.5
93.6,50.5
105.9,50.5
118.2,50.5
130.5,50.5
142.9,50.5
-120.0,42.2
-109.2,42.2
-98.5,42.2
-87.7,42.2
-76.9,42.2
-66.2,42.2
-5.0,42.2
5.8,42.2
16.5,42.2
27.3,42.2
38.1,42.2
48.8,42.2
59.6,42.2
70.3,42.2
81.1,42.2
91.9,42.2
102.6,42.2
113.4,42.2
124.2,42.2
134.9,42.2
145.7,42.2
-118.0,33.8
-108.3,33.8
-98.6,33.8
-88.8,33.8
-79.1,33.8
-5.0,33.8
4.7,33.8
14.4,33.8
24.2,33.8
33.9,33.8
43.6,33.8
53.3,33.8
63.1,33.8
72.8,33.8
82.5,33.8
92.2,33.8
101.9,33.8
111.7,33.8
121.4,33.8
131.1,33.8
140.8,33.8
-110.0,25.4
-101.0,25.4
-91.9,25.4
-82.9,25.4
-13.0,25.4
-4.0,25.4
5.1,25.4
14.1,25.4
23.2,25.4
32.2,25.4
41.2,25.4
50.3,25.4
59.3,25.4
68.4,25.4
77.4,25.4
86.5,25.4
95.5,25.4
104.5,25.4
113.6,25.4
122.6,25.4
-102.0,17.0
-93.4,17.0
-84.8,17.0
-76.1,17.0
-67.5,17.0
-14.0,17.0
-5.4,17.0
3.2,17.0
11.9,17.0
20.5,17.0
29.1,17.0
37.7,17.0
46.4,17.0
55.0,17.0
73.0,17.0
81.6,17.0
98.9,17.0
107.5,17.0
121.0,17.0
-85.0,8.6
-76.6,8.6
-68.2,8.6
-59.8,8.6
-13.0,8.6
-4.6,8.6
3.8,8.6
12.2,8.6
20.6,8.6
29.1,8.6
37.5,8.6
45.9,8.6
79.0,8.6
102.0,8.6
110.4,8.6
118.8,8.6
127.2,8.6
-78.0,0.2
-69.6,0.2
-61.2,0.2
-52.8,0.2
-44.5,0.2
8.0,0.2
16.4,0.2
24.8,0.2
33.2,0.2
41.5,0.2
100.0,0.2
108.4,0.2
116.8,0.2
125.2,0.2
133.5,0.2
-78.0,-8.2
-69.6,-8.2
-61.2,-8.2
-52.8,-8.2
-44.5,-8.2
-36.1,-8.2
14.0,-8.2
22.4,-8.2
30.8,-8.2
39.2,-8.2
105.0,-8.2
113.4,-8.2
121.8,-8.2
138.5,-8.2
146.9,-8.2
-74.0,-16.6
-65.5,-16.6
-56.9,-16.6
-48.4,-16.6
-39.8,-16.6
15.0,-16.6
23.5,-16.6
32.1,-16.6
40.6,-16.6
49.2,-16.6
125.0,-16.6
133.5,-16.6
142.1,-16.6
-68.0,-25.0
-59.1,-25.0
-50.2,-25.0
-41.3,-25.0
18.0,-25.0
26.9,-25.0
35.8,-25.0
46.0,-25.0
118.0,-25.0
126.9,-25.0
135.8,-25.0
144.7,-25.0
153.6,-25.0
-68.0,-33.4
-58.5,-33.4
-49.0,-33.4
20.0,-33.4
29.5,-33.4
120.0,-33.4
129.5,-33.4
139.0,-33.4
148.5,-33.4
174.0,-33.4
-70.0,-41.8
-59.6,-41.8
145.0,-41.8
174.0,-41.8
-70.0,-50.2
