Target_lon,Target_lat,num_sv
-158.0,67.0,644
-139.2,67.0,516
-120.3,67.0,536
-101.5,67.0,193
-15.0,67.0,47
20.0,67.0,785
38.8,67.0,777
57.7,67.0,771
76.5,67.0,914
95.3,67.0,382
114.2,67.0,182
151.8,67.0,587
170.6,67.0,231
-158.0,58.8,383
-128.5,58.8,555
-113.7,58.8,1226
-98.9,58.8,936
-84.2,58.8,246
-69.4,58.8,415
0.0,58.8,375
14.8,58.8,873
29.5,58.8,1171
44.3,58.8,1160
59.1,58.8,1174
73.8,58.8,1295
88.6,58.8,914
103.4,58.8,392
118.1,58.8,252
132.9,58.8,390
147.7,58.8,260
162.4,58.8,250
-125.0,50.5,649
-112.7,50.5,1230
-100.4,50.5,1296
-88.0,50.5,1207
-75.7,50.5,1204
-63.4,50.5,883
-51.1,50.5,153
-5.0,50.5,611
7.3,50.5,1108
19.6,50.5,1267
32.0,50.5,1270
44.3,50.5,1274
56.6,50.5,1221
68.9,50.5,1155
81.3,50.5,1215
93.6,50.5,792
105.9,50.5,881
118.2,50.5,745
130.5,50.5,871
142.9,50.5,268
-120.0,42.2,960
-109.2,42.2,1239
-98.5,42.2,1296
-87.7,42.2,1225
-76.9,42.2,1106
-66.2,42.2,378
-5.0,42.2,793
5.8,42.2,697
16.5,42.2,864
27.3,42.2,976
38.1,42.2,1013
48.8,42.2,880
59.6,42.2,1107
70.3,42.2,1116
81.1,42.2,949
91.9,42.2,407
102.6,42.2,553
113.4,42.2,1178
124.2,42.2,1100
134.9,42.2,409
145.7,42.2,248
-118.0,33.8,563
-108.3,33.8,1226
-98.6,33.8,1296
-88.8,33.8,1250
-79.1,33.8,758
-5.0,33.8,921
4.7,33.8,1027
14.4,33.8,602
24.2,33.8,459
33.9,33.8,890
43.6,33.8,1257
53.3,33.8,1222
63.1,33.8,1271
72.8,33.8,1041
82.5,33.8,281
92.2,33.8,288
101.9,33.8,915
111.7,33.8,1296
121.4,33.8,717
131.1,33.8,403
140.8,33.8,223
-110.0,25.4,537
-101.0,25.4,1137
-91.9,25.4,264
-82.9,25.4,315
-13.0,25.4,498
-4.0,25.4,325
5.1,25.4,284
14.1,25.4,429
23.2,25.4,468
32.2,25.4,593
41.2,25.4,958
50.3,25.4,949
59.3,25.4,847
68.4,25.4,975
77.4,25.4,1296
86.5,25.4,1149
95.5,25.4,1161
104.5,25.4,1268
113.6,25.4,1113
122.6,25.4,345
-102.0,17.0,522
-93.4,17.0,712
-84.8,17.0,501
-76.1,17.0,193
-67.5,17.0,132
-14.0,17.0,780
-5.4,17.0,597
3.2,17.0,643
11.9,17.0,443
20.5,17.0,606
29.1,17.0,492
37.7,17.0,723
46.4,17.0,901
55.0,17.0,262
73.0,17.0,682
81.6,17.0,839
98.9,17.0,1068
107.5,17.0,841
121.0,17.0,196
-85.0,8.6,271
-76.6,8.6,637
-68.2,8.6,1025
-59.8,8.6,697
-13.0,8.6,660
-4.6,8.6,1198
3.8,8.6,1149
12.2,8.6,1295
20.6,8.6,1296
29.1,8.6,1296
37.5,8.6,1296
45.9,8.6,967
79.0,8.6,443
102.0,8.6,639
110.4,8.6,299
118.8,8.6,282
127.2,8.6,278
-78.0,0.2,858
-69.6,0.2,1295
-61.2,0.2,1282
-52.8,0.2,1125
-44.5,0.2,381
8.0,0.2,528
16.4,0.2,1296
24.8,0.2,1263
33.2,0.2,1263
41.5,0.2,908
100.0,0.2,630
108.4,0.2,434
116.8,0.2,638
125.2,0.2,195
133.5,0.2,190
-78.0,-8.2,821
-69.6,-8.2,1232
-61.2,-8.2,1275
-52.8,-8.2,1295
-44.5,-8.2,1296
-36.1,-8.2,664
14.0,-8.2,894
22.4,-8.2,1296
30.8,-8.2,1288
39.2,-8.2,770
105.0,-8.2,230
113.4,-8.2,250
121.8,-8.2,263
138.5,-8.2,507
146.9,-8.2,373
-74.0,-16.6,526
-65.5,-16.6,1286
-56.9,-16.6,1296
-48.4,-16.6,1296
-39.8,-16.6,758
15.0,-16.6,930
23.5,-16.6,1295
32.1,-16.6,1247
40.6,-16.6,528
49.2,-16.6,509
125.0,-16.6,595
133.5,-16.6,1063
142.1,-16.6,693
-68.0,-25.0,757
-59.1,-25.0,1295
-50.2,-25.0,1059
-41.3,-25.0,261
18.0,-25.0,782
26.9,-25.0,1281
35.8,-25.0,436
46.0,-25.0,312
118.0,-25.0,590
126.9,-25.0,639
135.8,-25.0,1042
144.7,-25.0,1083
153.6,-25.0,406
-68.0,-33.4,971
-58.5,-33.4,1138
-49.0,-33.4,264
20.0,-33.4,439
29.5,-33.4,420
120.0,-33.4,550
129.5,-33.4,115
139.0,-33.4,711
148.5,-33.4,995
174.0,-33.4,74
-70.0,-41.8,863
-59.6,-41.8,295
145.0,-41.8,245
174.0,-41.8,344
-70.0,-50.2,429
